litter_id;pup_id;year;mother_id;mother_age;survival
2007_12;35;2007;12;3;1
2007_12;36;2007;12;3;1
2007_12;37;2007;12;3;1
2007_12;38;2007;12;3;1
2007_12;39;2007;12;3;1
2007_12;40;2007;12;3;1
2007_12;41;2007;12;3;1
2007_12;42;2007;12;3;1
2007_28;43;2007;28;1;1
2007_28;44;2007;28;1;1
2007_10;45;2007;10;3;1
2007_10;46;2007;10;3;1
2007_10;47;2007;10;3;1
2007_10;48;2007;10;3;1
2007_10;49;2007;10;3;1
2007_10;50;2007;10;3;1
2007_10;51;2007;10;3;1
2007_12;53;2007;12;3;1
2008_12;58;2008;12;4;1
2008_12;59;2008;12;4;1
2008_12;60;2008;12;4;1
2008_12;61;2008;12;4;1
2008_12;62;2008;12;4;1
2008_12;63;2008;12;4;1
2008_12;64;2008;12;4;1
2008_12;65;2008;12;4;1
2008_12;66;2008;12;4;1
2008_12;67;2008;12;4;1
2008_28;68;2008;28;2;1
2008_28;69;2008;28;2;1
2008_28;70;2008;28;2;1
2008_28;71;2008;28;2;1
2008_28;72;2008;28;2;1
2008_28;73;2008;28;2;1
2008_28;74;2008;28;2;1
2008_28;75;2008;28;2;1
2008_28;76;2008;28;2;1
2008_28;77;2008;28;2;1
2008_28;78;2008;28;2;1
2008_46;79;2008;46;1;1
2008_46;80;2008;46;1;1
2008_46;81;2008;46;1;1
2009_46;86;2009;46;2;1
2008_46;87;2008;46;1;1
2008_46;88;2008;46;1;1
2009_46;89;2009;46;2;1
2009_46;90;2009;46;2;1
2009_46;91;2009;46;2;1
2009_46;92;2009;46;2;1
2010_117;93;2010;117;1;1
2009_46;94;2009;46;2;1
2009_46;95;2009;46;2;1
2009_12;96;2009;12;5;1
2009_12;97;2009;12;5;1
2009_12;98;2009;12;5;1
2009_12;99;2009;12;5;1
2009_12;100;2009;12;5;1
2009_12;101;2009;12;5;1
2009_12;102;2009;12;5;1
2009_28;103;2009;28;3;1
2009_28;104;2009;28;3;1
2009_28;105;2009;28;3;1
2009_28;106;2009;28;3;1
2009_28;107;2009;28;3;1
2009_28;108;2009;28;3;1
2009_28;109;2009;28;3;1
2009_31;110;2009;31;2;1
2009_31;111;2009;31;2;1
2009_31;112;2009;31;2;1
2010_117;113;2010;117;1;1
2009_31;118;2009;31;2;1
2009_31;119;2009;31;2;1
2009_31;120;2009;31;2;1
2009_31;121;2009;31;2;1
2009_31;122;2009;31;2;1
2009_22;123;2009;22;4;1
2009_22;124;2009;22;4;1
2009_22;125;2009;22;4;1
2009_22;126;2009;22;4;1
2009_22;127;2009;22;4;1
2009_12;128;2009;12;5;1
2009_22;129;2009;22;4;1
2010_12;130;2010;12;6;1
2010_12;131;2010;12;6;1
2010_12;132;2010;12;6;1
2010_12;133;2010;12;6;1
2010_12;134;2010;12;6;1
2010_12;135;2010;12;6;1
2010_12;136;2010;12;6;1
2010_12;137;2010;12;6;1
2010_12;138;2010;12;6;1
2010_28;139;2010;28;4;1
2010_28;140;2010;28;4;1
2010_28;141;2010;28;4;1
2010_28;142;2010;28;4;1
2010_28;143;2010;28;4;1
2010_28;144;2010;28;4;1
2010_28;145;2010;28;4;1
2010_28;146;2010;28;4;1
2010_28;147;2010;28;4;1
2010_28;148;2010;28;4;1
2010_28;149;2010;28;4;1
2010_28;150;2010;28;4;1
2010_28;151;2010;28;4;1
2010_28;152;2010;28;4;1
2010_31;153;2010;31;3;1
2010_31;154;2010;31;3;1
2010_31;155;2010;31;3;1
2010_31;156;2010;31;3;1
2010_31;157;2010;31;3;1
2010_31;158;2010;31;3;1
2010_31;159;2010;31;3;1
2010_31;160;2010;31;3;1
2010_31;161;2010;31;3;1
2010_31;162;2010;31;3;1
2010_31;163;2010;31;3;1
2013_22;165;2013;22;8;0
2010_117;167;2010;117;1;1
2010_117;168;2010;117;1;1
2010_117;169;2010;117;1;1
2010_117;170;2010;117;1;1
2010_117;171;2010;117;1;1
2010_22;172;2010;22;5;1
2010_22;173;2010;22;5;1
2010_22;174;2010;22;5;1
2010_22;175;2010;22;5;1
2010_22;176;2010;22;5;1
2010_22;177;2010;22;5;1
2010_22;178;2010;22;5;1
2010_22;179;2010;22;5;1
2010_46;180;2010;46;3;1
2010_46;181;2010;46;3;1
2010_46;182;2010;46;3;1
2010_46;183;2010;46;3;1
2010_46;184;2010;46;3;1
2010_12;185;2010;12;6;1
2010_12;186;2010;12;6;1
2010_82;187;2010;82;2;1
2010_82;188;2010;82;2;1
2010_82;189;2010;82;2;1
2010_82;190;2010;82;2;1
2010_82;191;2010;82;2;1
2010_82;192;2010;82;2;1
2010_12;193;2010;12;6;1
2010_12;194;2010;12;6;1
2010_10;195;2010;10;6;1
2010_10;196;2010;10;6;1
2010_10;197;2010;10;6;1
2010_10;198;2010;10;6;1
2010_10;199;2010;10;6;1
2010_10;200;2010;10;6;1
2011_46;201;2011;46;4;1
2011_46;202;2011;46;4;1
2011_46;203;2011;46;4;1
2011_46;204;2011;46;4;1
2011_46;205;2011;46;4;1
2011_46;206;2011;46;4;1
2011_82;207;2011;82;3;1
2013_22;208;2013;22;8;0
2011_82;209;2011;82;3;1
2011_82;210;2011;82;3;1
2011_82;211;2011;82;3;1
2011_82;212;2011;82;3;1
2011_82;213;2011;82;3;1
2011_82;214;2011;82;3;1
2011_82;215;2011;82;3;1
2011_12;216;2011;12;7;1
2011_12;217;2011;12;7;1
2011_12;218;2011;12;7;1
2011_28;219;2011;28;5;1
2011_28;220;2011;28;5;1
2011_28;221;2011;28;5;1
2011_28;222;2011;28;5;1
2011_28;223;2011;28;5;1
2011_28;224;2011;28;5;1
2011_28;225;2011;28;5;1
2011_28;226;2011;28;5;1
2011_28;227;2011;28;5;1
2011_28;228;2011;28;5;1
2011_28;229;2011;28;5;1
2011_28;230;2011;28;5;1
2011_117;231;2011;117;2;1
2011_117;232;2011;117;2;1
2011_117;233;2011;117;2;1
2011_117;234;2011;117;2;1
2011_117;235;2011;117;2;1
2011_117;236;2011;117;2;1
2011_22;237;2011;22;6;1
2011_140;238;2011;140;1;1
2011_140;239;2011;140;1;1
2011_140;240;2011;140;1;1
2011_140;241;2011;140;1;1
2011_140;242;2011;140;1;1
2011_140;243;2011;140;1;1
2012_140;245;2012;140;2;0
2012_140;246;2012;140;2;1
2012_140;247;2012;140;2;1
2012_140;248;2012;140;2;1
2012_22;249;2012;22;7;1
2012_22;250;2012;22;7;1
2012_22;251;2012;22;7;1
2012_117;252;2012;117;3;1
2012_117;253;2012;117;3;1
2012_117;254;2012;117;3;1
2012_22;255;2012;22;7;1
2012_117;256;2012;117;3;1
2012_117;257;2012;117;3;1
2012_12;258;2012;12;8;1
2012_12;259;2012;12;8;1
2012_12;260;2012;12;8;1
2012_46;261;2012;46;5;1
2012_46;262;2012;46;5;1
2012_46;263;2012;46;5;1
2012_46;264;2012;46;5;1
2012_46;265;2012;46;5;1
2012_46;266;2012;46;5;0
2012_82;267;2012;82;4;0
2012_82;268;2012;82;4;0
2012_82;269;2012;82;4;0
2012_28;270;2012;28;6;0
2012_28;271;2012;28;6;0
2012_28;272;2012;28;6;0
2012_28;273;2012;28;6;0
2012_28;274;2012;28;6;0
2012_28;275;2012;28;6;0
2012_28;276;2012;28;6;0
2012_22;277;2012;22;7;0
2012_22;278;2012;22;7;0
2012_22;279;2012;22;7;0
2012_22;280;2012;22;7;0
2012_140;281;2012;140;2;0
2012_140;282;2012;140;2;0
2012_140;283;2012;140;2;0
2012_140;284;2012;140;2;0
2013_22;285;2013;22;8;0
2013_140;286;2013;140;3;1
2013_140;287;2013;140;3;1
2013_140;288;2013;140;3;1
2013_140;289;2013;140;3;1
2013_140;290;2013;140;3;1
2013_140;291;2013;140;3;1
2013_140;292;2013;140;3;1
2013_140;293;2013;140;3;1
2013_140;294;2013;140;3;1
2013_140;295;2013;140;3;1
2013_248;296;2013;248;1;1
2013_248;297;2013;248;1;1
2013_248;298;2013;248;1;1
2013_248;299;2013;248;1;1
2013_46;300;2013;46;6;1
2013_46;301;2013;46;6;1
2013_46;302;2013;46;6;1
2013_46;303;2013;46;6;1
2013_46;304;2013;46;6;1
2013_46;305;2013;46;6;1
2013_46;306;2013;46;6;1
2013_46;307;2013;46;6;1
2013_117;308;2013;117;4;1
2013_117;309;2013;117;4;1
2013_117;310;2013;117;4;1
2013_117;311;2013;117;4;1
2013_117;312;2013;117;4;1
2013_82;315;2013;82;5;1
2013_82;316;2013;82;5;1
2013_82;317;2013;82;5;1
2013_82;318;2013;82;5;1
2013_82;319;2013;82;5;1
2013_82;320;2013;82;5;1
2013_82;321;2013;82;5;1
2013_255;322;2013;255;1;1
2013_255;323;2013;255;1;1
2013_255;324;2013;255;1;1
2013_255;325;2013;255;1;1
2013_255;326;2013;255;1;1
2013_255;327;2013;255;1;1
2013_140;328;2013;140;3;1
2013_22;329;2013;22;8;0
2014_140;330;2014;140;4;1
2014_140;331;2014;140;4;1
2014_255;332;2014;255;2;1
2014_82;333;2014;82;6;1
2014_82;334;2014;82;6;1
2014_82;335;2014;82;6;1
2014_140;336;2014;140;4;1
2014_117;337;2014;117;5;1
2014_117;338;2014;117;5;1
2014_117;339;2014;117;5;1
2014_117;340;2014;117;5;1
2014_46;341;2014;46;7;1
2014_46;342;2014;46;7;1
2014_46;343;2014;46;7;1
2014_117;344;2014;117;5;1
2014_46;345;2014;46;7;1
2014_22;346;2014;22;9;1
2014_22;347;2014;22;9;1
2014_22;348;2014;22;9;1
2014_22;349;2014;22;9;1
2014_22;350;2014;22;9;1
2014_82;351;2014;82;6;1
2014_82;352;2014;82;6;1
2014_46;353;2014;46;7;1
2014_46;354;2014;46;7;1
2014_22;355;2014;22;9;1
2015_140;356;2015;140;5;1
2015_140;357;2015;140;5;1
2015_140;358;2015;140;5;1
2015_140;359;2015;140;5;1
2015_140;360;2015;140;5;1
2015_140;361;2015;140;5;1
2015_140;362;2015;140;5;1
2015_248;363;2015;248;3;1
2015_248;364;2015;248;3;1
2015_248;365;2015;248;3;1
2015_255;366;2015;255;3;1
2015_255;367;2015;255;3;1
2015_255;368;2015;255;3;1
2015_117;369;2015;117;6;1
2015_248;370;2015;248;3;1
2015_255;371;2015;255;3;1
2015_255;372;2015;255;3;1
2015_255;373;2015;255;3;1
2015_255;374;2015;255;3;1
2015_255;375;2015;255;3;1
2015_117;376;2015;117;6;1
2015_117;377;2015;117;6;1
2015_117;378;2015;117;6;1
2015_117;379;2015;117;6;1
2015_46;380;2015;46;8;1
2015_46;381;2015;46;8;1
2015_46;382;2015;46;8;1
2015_82;383;2015;82;7;1
2015_82;384;2015;82;7;1
2015_82;385;2015;82;7;1
2015_343;386;2015;343;1;1
2015_343;387;2015;343;1;0
2015_343;388;2015;343;1;0
2015_343;389;2015;343;1;0
2015_343;390;2015;343;1;0
2016_248;391;2016;248;4;1
2016_248;392;2016;248;4;1
2016_248;393;2016;248;4;1
2016_248;394;2016;248;4;1
2016_248;395;2016;248;4;1
2016_248;396;2016;248;4;1
2016_248;397;2016;248;4;1
2016_248;398;2016;248;4;1
2016_255;399;2016;255;4;1
2016_255;400;2016;255;4;1
2016_255;401;2016;255;4;1
2016_5462;402;2016;5462;2;1
2016_5462;403;2016;5462;2;1
2016_5462;404;2016;5462;2;1
2016_5462;405;2016;5462;2;1
2016_5462;406;2016;5462;2;1
2016_5462;407;2016;5462;2;1
2016_5462;408;2016;5462;2;1
2016_248;409;2016;248;4;1
2016_140;410;2016;140;6;0
2017_248;411;2017;248;5;1
2017_343;412;2017;343;3;1
2017_343;413;2017;343;3;1
2017_343;414;2017;343;3;1
2017_343;415;2017;343;3;1
2017_140;416;2017;140;7;0
2017_343;417;2017;343;3;1
2017_343;418;2017;343;3;1
2017_343;419;2017;343;3;1
2017_343;420;2017;343;3;1
2017_248;421;2017;248;5;1
2017_248;422;2017;248;5;1
2017_248;423;2017;248;5;1
2017_255;424;2017;255;5;1
2017_255;425;2017;255;5;1
2017_255;426;2017;255;5;1
2017_255;427;2017;255;5;1
2017_255;428;2017;255;5;1
2017_5605;429;2017;5605;2;1
2017_5605;430;2017;5605;2;1
2017_5605;431;2017;5605;2;1
2017_5605;432;2017;5605;2;1
2017_5605;433;2017;5605;2;1
2017_5605;434;2017;5605;2;1
2017_5462;435;2017;5462;3;1
2017_5462;436;2017;5462;3;1
2017_5462;437;2017;5462;3;1
2017_5462;438;2017;5462;3;1
2017_5462;439;2017;5462;3;1
2017_5462;440;2017;5462;3;1
2017_5462;441;2017;5462;3;1
2017_140;442;2017;140;7;1
2017_140;443;2017;140;7;1
2017_140;444;2017;140;7;1
2017_140;445;2017;140;7;1
2017_248;446;2017;248;5;1
2017_248;447;2017;248;5;1
2017_248;448;2017;248;5;1
2017_140;449;2017;140;7;1
2017_140;450;2017;140;7;1
2017_140;451;2017;140;7;1
2017_248;452;2017;248;5;1
2017_248;459;2017;248;5;1
2017_5462;460;2017;5462;3;1
2017_5462;461;2017;5462;3;1
2017_407;462;2017;407;1;0
2017_407;463;2017;407;1;0
2017_407;464;2017;407;1;0
2017_407;465;2017;407;1;0
2018_248;466;2018;248;6;0
2018_248;467;2018;248;6;1
2018_248;468;2018;248;6;1
2018_248;469;2018;248;6;1
2018_255;470;2018;255;6;1
2018_248;471;2018;248;6;1
2018_255;472;2018;255;6;1
2018_255;473;2018;255;6;1
2018_255;474;2018;255;6;1
2018_255;475;2018;255;6;1
2018_255;476;2018;255;6;1
2018_255;477;2018;255;6;1
2018_5462;478;2018;5462;4;1
2018_5462;479;2018;5462;4;1
2018_5462;480;2018;5462;4;1
2018_5462;481;2018;5462;4;1
2018_382;482;2018;382;3;1
2018_5605;483;2018;5605;3;1
2018_5605;484;2018;5605;3;1
2018_5605;485;2018;5605;3;1
2018_5605;486;2018;5605;3;1
2018_5605;487;2018;5605;3;1
2018_5605;488;2018;5605;3;1
2018_429;489;2018;429;1;1
2018_343;490;2018;343;4;1
2018_343;491;2018;343;4;1
2018_343;492;2018;343;4;1
2018_343;493;2018;343;4;1
2018_343;494;2018;343;4;1
2018_343;495;2018;343;4;1
2018_343;496;2018;343;4;1
2018_429;497;2018;429;1;1
2018_429;498;2018;429;1;1
2018_429;499;2018;429;1;1
2018_429;500;2018;429;1;1
2018_429;501;2018;429;1;1
2018_429;502;2018;429;1;1
2018_429;503;2018;429;1;1
2018_429;504;2018;429;1;1
2018_429;505;2018;429;1;1
2018_429;506;2018;429;1;1
2018_248;507;2018;248;6;1
2018_5462;508;2018;5462;4;1
2018_5462;509;2018;5462;4;1
2018_5462;510;2018;5462;4;1
2018_5462;511;2018;5462;4;1
2018_248;512;2018;248;6;1
2018_5605;513;2018;5605;3;1
2018_5462;514;2018;5462;4;1
2009_22;515;2009;22;4;0
2019_5605;516;2019;5605;4;1
2019_5605;517;2019;5605;4;1
2019_5605;518;2019;5605;4;1
2019_5605;519;2019;5605;4;1
2019_5605;520;2019;5605;4;1
2019_407;521;2019;407;3;1
2019_407;522;2019;407;3;1
2019_407;523;2019;407;3;1
2019_407;524;2019;407;3;1
2019_407;525;2019;407;3;1
2019_407;526;2019;407;3;1
2019_407;527;2019;407;3;1
2019_255;528;2019;255;7;1
2019_255;529;2019;255;7;1
2019_255;530;2019;255;7;1
2019_5605;531;2019;5605;4;1
2019_5605;532;2019;5605;4;1
2019_5605;533;2019;5605;4;1
2020_343;534;2020;343;6;1
2020_343;535;2020;343;6;1
2020_343;536;2020;343;6;1
2020_343;537;2020;343;6;1
2020_343;538;2020;343;6;1
2020_343;539;2020;343;6;1
2020_343;540;2020;343;6;1
2020_5605;541;2020;5605;5;1
2020_5605;542;2020;5605;5;1
2020_407;543;2020;407;4;1
2020_407;544;2020;407;4;1
2020_407;545;2020;407;4;1
2020_407;546;2020;407;4;1
2020_5799;547;2020;5799;1;1
2020_407;548;2020;407;4;1
2020_343;549;2020;343;6;1
2020_407;550;2020;407;4;1
2007_28;551;2007;28;1;0
2007_28;552;2007;28;1;0
2008_22;558;2008;22;3;0
2008_22;559;2008;22;3;0
2008_22;560;2008;22;3;0
2008_22;561;2008;22;3;0
2008_22;562;2008;22;3;0
2011_82;568;2011;82;3;0
2011_46;569;2011;46;4;0
2011_46;570;2011;46;4;0
2011_46;571;2011;46;4;0
2011_46;572;2011;46;4;0
2020_5799;573;2020;5799;1;0
2020_5800;574;2020;5800;1;0
2020_5800;575;2020;5800;1;0
2020_5800;576;2020;5800;1;0
2020_5800;577;2020;5800;1;0
2020_5800;578;2020;5800;1;0
2020_5800;579;2020;5800;1;0
2020_5800;580;2020;5800;1;0
2021_5877;581;2021;5877;1;1
2021_5877;582;2021;5877;1;1
2021_5877;583;2021;5877;1;1
2021_5800;584;2021;5800;2;1
2021_5800;585;2021;5800;2;1
2021_407;586;2021;407;5;1
2021_5800;587;2021;5800;2;1
2021_407;588;2021;407;5;1
2021_407;589;2021;407;5;1
2021_407;590;2021;407;5;1
2021_407;591;2021;407;5;1
2021_5800;592;2021;5800;2;1
2021_407;593;2021;407;5;1
2021_429;594;2021;429;4;1
2021_407;595;2021;407;5;1
2021_429;596;2021;429;4;1
2021_429;597;2021;429;4;1
2021_429;598;2021;429;4;1
2021_429;599;2021;429;4;1
2021_429;600;2021;429;4;1
2021_407;601;2021;407;5;1
2021_5800;602;2021;5800;2;1
2021_407;603;2021;407;5;1
2021_343;604;2021;343;7;0
2021_343;605;2021;343;7;0
2021_5740;606;2021;5740;3;0
2021_5740;607;2021;5740;3;1
2021_5740;608;2021;5740;3;1
2021_5740;609;2021;5740;3;1
2021_5740;610;2021;5740;3;1
2021_5740;611;2021;5740;3;1
2021_5740;612;2021;5740;3;1
2021_5740;613;2021;5740;3;1
